[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1758,10/24/2023,9057,Name 1098,"1,000.00",0063487223,Jim Mackraz,11/03/2023 10:17:51 AM,Other Water
Donor 1759,10/24/2023,9057,Name 1099,"3,000.00",0063487223,Jim Mackraz,11/03/2023 10:17:51 AM,OliveSeed Fdn - Operations
Donor 1760,10/24/2023,9076,Name 1100,"4,500.00",35392558,Stephanie Gray,11/10/2023 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1761,10/30/2023,9077,Name 1101,335.88,35567713,Stephanie Gray,11/10/2023 04:28:19 PM,OliveSeed Fdn - Operations
Donor 1762,10/31/2023,9058,Name 1102,500.00,199,Jim Mackraz,11/03/2023 10:19:16 AM,OliveSeed Fdn - Operations
Donor 1763,10/31/2023,9060,Name 1103,100.00,,Barb Mackraz,11/03/2023 03:24:18 PM,OliveSeed Fdn - Operations
Donor 1764,11/02/2023,9078,Name 1104,38.12,35656843,Stephanie Gray,11/10/2023 04:33:06 PM,OliveSeed Fdn - Operations
Donor 1765,11/07/2023,9079,Name 1105,39.77,35804224,Stephanie Gray,11/10/2023 04:35:48 PM,OliveSeed Fdn - Operations
Donor 1766,11/10/2023,9089,Name 1106,9.20,36090090,Stephanie Gray,12/20/2023 04:50:57 PM,School Projects
Donor 1767,11/13/2023,9131,Name 1107,50.00,501JZWZBJR,Stephanie Gray,02/12/2024 08:19:16 PM,OliveSeed Fdn - Operations
Donor 1768,11/16/2023,9090,Name 1108,4.89,36242558,Stephanie Gray,12/20/2023 04:59:04 PM,OliveSeed Fdn - Operations
Donor 1769,11/17/2023,9132,Name 1109,400.00,50T8SSJWAM,Stephanie Gray,02/12/2024 08:22:36 PM,OliveSeed Fdn - Operations
Donor 1770,11/18/2023,9091,Name 1110,143.78,36320159,Stephanie Gray,12/20/2023 05:03:51 PM,OliveSeed Fdn - Operations
Donor 1771,11/18/2023,9133,Name 1111,"1,000.00",5106JPVL01,Stephanie Gray,02/12/2024 08:25:09 PM,OliveSeed Fdn - Operations
